Using device=cuda
[RUN] function=core_interaction_c05 screen=raw seed=0
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 2.79e-01 | test_loss: 3.90e-01 | reg: 5.59e+01 | :   0%|       | 0/50 [00:01<?, ?it/s]
| train_loss: 2.79e-01 | test_loss: 3.90e-01 | reg: 5.59e+01 | :   2%| | 1/50 [00:01<00:52,  1.07s/i
| train_loss: 1.37e-01 | test_loss: 2.63e-01 | reg: 3.76e+01 | :   2%| | 1/50 [00:01<00:52,  1.07s/i
| train_loss: 1.37e-01 | test_loss: 2.63e-01 | reg: 3.76e+01 | :   4%| | 2/50 [00:01<00:24,  1.94it/
| train_loss: 7.62e-02 | test_loss: 1.64e-01 | reg: 2.75e+01 | :   4%| | 2/50 [00:01<00:24,  1.94it/
| train_loss: 7.62e-02 | test_loss: 1.64e-01 | reg: 2.75e+01 | :   6%| | 3/50 [00:01<00:15,  2.95it/
| train_loss: 4.59e-02 | test_loss: 9.50e-02 | reg: 2.12e+01 | :   6%| | 3/50 [00:01<00:15,  2.95it/
| train_loss: 4.59e-02 | test_loss: 9.50e-02 | reg: 2.12e+01 | :   8%| | 4/50 [00:01<00:12,  3.78it/
| train_loss: 3.21e-02 | test_loss: 6.30e-02 | reg: 1.70e+01 | :   8%| | 4/50 [00:01<00:12,  3.78it/
| train_loss: 3.21e-02 | test_loss: 6.30e-02 | reg: 1.70e+01 | :  10%| | 5/50 [00:01<00:09,  4.57it/
| train_loss: 2.61e-02 | test_loss: 4.75e-02 | reg: 1.48e+01 | :  10%| | 5/50 [00:01<00:09,  4.57it/
| train_loss: 2.61e-02 | test_loss: 4.75e-02 | reg: 1.48e+01 | :  12%| | 6/50 [00:01<00:08,  5.27it/
| train_loss: 2.25e-02 | test_loss: 3.68e-02 | reg: 1.31e+01 | :  12%| | 6/50 [00:01<00:08,  5.27it/
| train_loss: 2.25e-02 | test_loss: 3.68e-02 | reg: 1.31e+01 | :  14%|▏| 7/50 [00:01<00:07,  5.72it/
| train_loss: 2.05e-02 | test_loss: 2.98e-02 | reg: 1.20e+01 | :  14%|▏| 7/50 [00:02<00:07,  5.72it/
| train_loss: 2.05e-02 | test_loss: 2.98e-02 | reg: 1.20e+01 | :  16%|▏| 8/50 [00:02<00:06,  6.07it/
| train_loss: 1.88e-02 | test_loss: 2.37e-02 | reg: 1.12e+01 | :  16%|▏| 8/50 [00:02<00:06,  6.07it/
| train_loss: 1.88e-02 | test_loss: 2.37e-02 | reg: 1.12e+01 | :  18%|▏| 9/50 [00:02<00:06,  6.55it/
| train_loss: 1.73e-02 | test_loss: 2.21e-02 | reg: 1.08e+01 | :  18%|▏| 9/50 [00:02<00:06,  6.55it/
| train_loss: 1.73e-02 | test_loss: 2.21e-02 | reg: 1.08e+01 | :  20%|▏| 10/50 [00:02<00:05,  6.86it
| train_loss: 1.57e-02 | test_loss: 2.00e-02 | reg: 1.04e+01 | :  20%|▏| 10/50 [00:02<00:05,  6.86it
| train_loss: 1.57e-02 | test_loss: 2.00e-02 | reg: 1.04e+01 | :  22%|▏| 11/50 [00:02<00:05,  7.14it
| train_loss: 1.49e-02 | test_loss: 1.87e-02 | reg: 1.02e+01 | :  22%|▏| 11/50 [00:02<00:05,  7.14it
| train_loss: 1.49e-02 | test_loss: 1.87e-02 | reg: 1.02e+01 | :  24%|▏| 12/50 [00:02<00:05,  7.38it
| train_loss: 1.47e-02 | test_loss: 1.84e-02 | reg: 9.89e+00 | :  24%|▏| 12/50 [00:02<00:05,  7.38it
| train_loss: 1.47e-02 | test_loss: 1.84e-02 | reg: 9.89e+00 | :  26%|▎| 13/50 [00:02<00:04,  7.46it
| train_loss: 1.42e-02 | test_loss: 1.77e-02 | reg: 9.72e+00 | :  26%|▎| 13/50 [00:02<00:04,  7.46it
| train_loss: 1.42e-02 | test_loss: 1.77e-02 | reg: 9.72e+00 | :  28%|▎| 14/50 [00:02<00:04,  7.51it
| train_loss: 1.40e-02 | test_loss: 1.73e-02 | reg: 9.65e+00 | :  28%|▎| 14/50 [00:02<00:04,  7.51it
| train_loss: 1.40e-02 | test_loss: 1.73e-02 | reg: 9.65e+00 | :  30%|▎| 15/50 [00:02<00:04,  7.55it
