Using device=cuda
[RUN] function=core_interaction_c1 screen=raw seed=0
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 2.92e-01 | test_loss: 5.58e-01 | reg: 4.52e+01 | :   0%|       | 0/50 [00:00<?, ?it/s]
| train_loss: 2.92e-01 | test_loss: 5.58e-01 | reg: 4.52e+01 | :   2%| | 1/50 [00:00<00:42,  1.16it/
| train_loss: 9.35e-02 | test_loss: 5.70e-01 | reg: 4.73e+01 | :   2%| | 1/50 [00:01<00:42,  1.16it/
| train_loss: 9.35e-02 | test_loss: 5.70e-01 | reg: 4.73e+01 | :   4%| | 2/50 [00:01<00:21,  2.27it/
| train_loss: 4.57e-02 | test_loss: 4.86e-01 | reg: 4.15e+01 | :   4%| | 2/50 [00:01<00:21,  2.27it/
| train_loss: 4.57e-02 | test_loss: 4.86e-01 | reg: 4.15e+01 | :   6%| | 3/50 [00:01<00:13,  3.38it/
| train_loss: 4.20e-02 | test_loss: 3.89e-01 | reg: 3.53e+01 | :   6%| | 3/50 [00:01<00:13,  3.38it/
| train_loss: 4.20e-02 | test_loss: 3.89e-01 | reg: 3.53e+01 | :   8%| | 4/50 [00:01<00:10,  4.34it/
| train_loss: 4.18e-02 | test_loss: 3.01e-01 | reg: 3.04e+01 | :   8%| | 4/50 [00:01<00:10,  4.34it/
| train_loss: 4.18e-02 | test_loss: 3.01e-01 | reg: 3.04e+01 | :  10%| | 5/50 [00:01<00:08,  5.21it/
| train_loss: 3.68e-02 | test_loss: 2.54e-01 | reg: 2.75e+01 | :  10%| | 5/50 [00:01<00:08,  5.21it/
| train_loss: 3.68e-02 | test_loss: 2.54e-01 | reg: 2.75e+01 | :  12%| | 6/50 [00:01<00:07,  5.78it/
| train_loss: 4.10e-02 | test_loss: 2.15e-01 | reg: 2.43e+01 | :  12%| | 6/50 [00:01<00:07,  5.78it/
| train_loss: 4.10e-02 | test_loss: 2.15e-01 | reg: 2.43e+01 | :  14%|▏| 7/50 [00:01<00:06,  6.27it/
| train_loss: 4.05e-02 | test_loss: 1.81e-01 | reg: 2.15e+01 | :  14%|▏| 7/50 [00:01<00:06,  6.27it/
