Using device=cuda
[RUN] function=core_interaction_c1 screen=raw seed=0
checkpoint directory created: ./model
saving model version 0.0

description:   0%|                                                           | 0/50 [00:00<?, ?it/s]
| train_loss: 1.67e-01 | test_loss: 7.68e-01 | reg: 5.09e+01 | :   0%|       | 0/50 [00:00<?, ?it/s]
| train_loss: 1.67e-01 | test_loss: 7.68e-01 | reg: 5.09e+01 | :   2%| | 1/50 [00:00<00:36,  1.36it/
| train_loss: 2.96e-02 | test_loss: 7.55e-01 | reg: 4.59e+01 | :   2%| | 1/50 [00:00<00:36,  1.36it/
| train_loss: 2.96e-02 | test_loss: 7.55e-01 | reg: 4.59e+01 | :   4%| | 2/50 [00:00<00:17,  2.70it/
| train_loss: 2.71e-02 | test_loss: 7.31e-01 | reg: 3.73e+01 | :   4%| | 2/50 [00:00<00:17,  2.70it/
| train_loss: 2.71e-02 | test_loss: 7.31e-01 | reg: 3.73e+01 | :   6%| | 3/50 [00:00<00:12,  3.90it/
| train_loss: 2.13e-02 | test_loss: 7.00e-01 | reg: 3.20e+01 | :   6%| | 3/50 [00:01<00:12,  3.90it/
| train_loss: 2.13e-02 | test_loss: 7.00e-01 | reg: 3.20e+01 | :   8%| | 4/50 [00:01<00:09,  4.89it/
| train_loss: 1.81e-02 | test_loss: 6.73e-01 | reg: 2.87e+01 | :   8%| | 4/50 [00:01<00:09,  4.89it/
| train_loss: 1.81e-02 | test_loss: 6.73e-01 | reg: 2.87e+01 | :  10%| | 5/50 [00:01<00:07,  5.83it/
| train_loss: 1.72e-02 | test_loss: 6.43e-01 | reg: 2.63e+01 | :  10%| | 5/50 [00:01<00:07,  5.83it/
| train_loss: 1.72e-02 | test_loss: 6.43e-01 | reg: 2.63e+01 | :  12%| | 6/50 [00:01<00:06,  6.56it/
| train_loss: 1.72e-02 | test_loss: 6.10e-01 | reg: 2.46e+01 | :  12%| | 6/50 [00:01<00:06,  6.56it/
| train_loss: 1.72e-02 | test_loss: 6.10e-01 | reg: 2.46e+01 | :  14%|▏| 7/50 [00:01<00:06,  7.12it/
| train_loss: 1.54e-02 | test_loss: 5.86e-01 | reg: 2.32e+01 | :  14%|▏| 7/50 [00:01<00:06,  7.12it/
| train_loss: 1.54e-02 | test_loss: 5.86e-01 | reg: 2.32e+01 | :  16%|▏| 8/50 [00:01<00:05,  7.49it/
| train_loss: 1.26e-02 | test_loss: 5.78e-01 | reg: 2.22e+01 | :  16%|▏| 8/50 [00:01<00:05,  7.49it/
| train_loss: 1.26e-02 | test_loss: 5.78e-01 | reg: 2.22e+01 | :  18%|▏| 9/50 [00:01<00:05,  7.91it/
| train_loss: 1.16e-02 | test_loss: 5.71e-01 | reg: 2.14e+01 | :  18%|▏| 9/50 [00:01<00:05,  7.91it/
| train_loss: 1.16e-02 | test_loss: 5.71e-01 | reg: 2.14e+01 | :  20%|▏| 10/50 [00:01<00:04,  8.22it
| train_loss: 9.95e-03 | test_loss: 5.69e-01 | reg: 2.09e+01 | :  20%|▏| 10/50 [00:01<00:04,  8.22it
| train_loss: 9.95e-03 | test_loss: 5.69e-01 | reg: 2.09e+01 | :  22%|▏| 11/50 [00:01<00:04,  8.42it
| train_loss: 9.37e-03 | test_loss: 5.67e-01 | reg: 2.05e+01 | :  22%|▏| 11/50 [00:02<00:04,  8.42it
| train_loss: 9.37e-03 | test_loss: 5.67e-01 | reg: 2.05e+01 | :  24%|▏| 12/50 [00:02<00:04,  8.24it
| train_loss: 1.11e-02 | test_loss: 5.68e-01 | reg: 2.00e+01 | :  24%|▏| 12/50 [00:02<00:04,  8.24it
| train_loss: 1.11e-02 | test_loss: 5.68e-01 | reg: 2.00e+01 | :  26%|▎| 13/50 [00:02<00:04,  8.34it
| train_loss: 1.02e-02 | test_loss: 5.70e-01 | reg: 1.97e+01 | :  26%|▎| 13/50 [00:02<00:04,  8.34it
| train_loss: 1.02e-02 | test_loss: 5.70e-01 | reg: 1.97e+01 | :  28%|▎| 14/50 [00:02<00:04,  8.54it
| train_loss: 1.10e-02 | test_loss: 5.71e-01 | reg: 1.95e+01 | :  28%|▎| 14/50 [00:02<00:04,  8.54it
| train_loss: 1.10e-02 | test_loss: 5.71e-01 | reg: 1.95e+01 | :  30%|▎| 15/50 [00:02<00:04,  8.67it
| train_loss: 9.86e-03 | test_loss: 5.73e-01 | reg: 1.93e+01 | :  30%|▎| 15/50 [00:02<00:04,  8.67it
| train_loss: 9.86e-03 | test_loss: 5.73e-01 | reg: 1.93e+01 | :  32%|▎| 16/50 [00:02<00:03,  8.77it
| train_loss: 9.13e-03 | test_loss: 5.73e-01 | reg: 1.91e+01 | :  32%|▎| 16/50 [00:02<00:03,  8.77it
| train_loss: 9.13e-03 | test_loss: 5.73e-01 | reg: 1.91e+01 | :  34%|▎| 17/50 [00:02<00:03,  8.85it
| train_loss: 9.59e-03 | test_loss: 5.70e-01 | reg: 1.90e+01 | :  34%|▎| 17/50 [00:02<00:03,  8.85it
| train_loss: 9.59e-03 | test_loss: 5.70e-01 | reg: 1.90e+01 | :  36%|▎| 18/50 [00:02<00:03,  8.66it
| train_loss: 9.46e-03 | test_loss: 5.68e-01 | reg: 1.89e+01 | :  36%|▎| 18/50 [00:02<00:03,  8.66it
| train_loss: 9.46e-03 | test_loss: 5.68e-01 | reg: 1.89e+01 | :  38%|▍| 19/50 [00:02<00:03,  8.76it
| train_loss: 9.32e-03 | test_loss: 5.68e-01 | reg: 1.88e+01 | :  38%|▍| 19/50 [00:02<00:03,  8.76it
| train_loss: 9.32e-03 | test_loss: 5.68e-01 | reg: 1.88e+01 | :  40%|▍| 20/50 [00:02<00:03,  8.85it
| train_loss: 9.09e-03 | test_loss: 5.67e-01 | reg: 1.87e+01 | :  40%|▍| 20/50 [00:03<00:03,  8.85it
| train_loss: 9.09e-03 | test_loss: 5.67e-01 | reg: 1.87e+01 | :  42%|▍| 21/50 [00:03<00:03,  8.91it
| train_loss: 8.70e-03 | test_loss: 5.66e-01 | reg: 1.86e+01 | :  42%|▍| 21/50 [00:03<00:03,  8.91it
| train_loss: 8.70e-03 | test_loss: 5.66e-01 | reg: 1.86e+01 | :  44%|▍| 22/50 [00:03<00:03,  8.93it
| train_loss: 9.90e-03 | test_loss: 5.66e-01 | reg: 1.85e+01 | :  44%|▍| 22/50 [00:03<00:03,  8.93it
| train_loss: 9.90e-03 | test_loss: 5.66e-01 | reg: 1.85e+01 | :  46%|▍| 23/50 [00:03<00:03,  8.96it
| train_loss: 9.54e-03 | test_loss: 5.66e-01 | reg: 1.84e+01 | :  46%|▍| 23/50 [00:03<00:03,  8.96it
| train_loss: 9.54e-03 | test_loss: 5.66e-01 | reg: 1.84e+01 | :  48%|▍| 24/50 [00:03<00:02,  8.97it
| train_loss: 9.81e-03 | test_loss: 5.66e-01 | reg: 1.83e+01 | :  48%|▍| 24/50 [00:03<00:02,  8.97it
| train_loss: 9.81e-03 | test_loss: 5.66e-01 | reg: 1.83e+01 | :  50%|▌| 25/50 [00:03<00:02,  8.95it
| train_loss: 9.43e-03 | test_loss: 5.67e-01 | reg: 1.83e+01 | :  50%|▌| 25/50 [00:03<00:02,  8.95it
| train_loss: 9.43e-03 | test_loss: 5.67e-01 | reg: 1.83e+01 | :  52%|▌| 26/50 [00:03<00:02,  8.86it
| train_loss: 9.35e-03 | test_loss: 5.69e-01 | reg: 1.82e+01 | :  52%|▌| 26/50 [00:03<00:02,  8.86it
| train_loss: 9.35e-03 | test_loss: 5.69e-01 | reg: 1.82e+01 | :  54%|▌| 27/50 [00:03<00:02,  8.93it
| train_loss: 9.45e-03 | test_loss: 5.70e-01 | reg: 1.81e+01 | :  54%|▌| 27/50 [00:03<00:02,  8.93it
| train_loss: 9.45e-03 | test_loss: 5.70e-01 | reg: 1.81e+01 | :  56%|▌| 28/50 [00:03<00:02,  8.94it
| train_loss: 9.24e-03 | test_loss: 5.73e-01 | reg: 1.81e+01 | :  56%|▌| 28/50 [00:03<00:02,  8.94it
| train_loss: 9.24e-03 | test_loss: 5.73e-01 | reg: 1.81e+01 | :  58%|▌| 29/50 [00:03<00:02,  8.96it
| train_loss: 9.51e-03 | test_loss: 5.77e-01 | reg: 1.80e+01 | :  58%|▌| 29/50 [00:04<00:02,  8.96it
| train_loss: 9.51e-03 | test_loss: 5.77e-01 | reg: 1.80e+01 | :  60%|▌| 30/50 [00:04<00:02,  8.97it
| train_loss: 1.00e-02 | test_loss: 5.81e-01 | reg: 1.79e+01 | :  60%|▌| 30/50 [00:04<00:02,  8.97it
| train_loss: 1.00e-02 | test_loss: 5.81e-01 | reg: 1.79e+01 | :  62%|▌| 31/50 [00:04<00:02,  8.98it
| train_loss: 9.91e-03 | test_loss: 5.85e-01 | reg: 1.78e+01 | :  62%|▌| 31/50 [00:04<00:02,  8.98it
| train_loss: 9.91e-03 | test_loss: 5.85e-01 | reg: 1.78e+01 | :  64%|▋| 32/50 [00:04<00:02,  8.99it
| train_loss: 1.06e-02 | test_loss: 5.90e-01 | reg: 1.77e+01 | :  64%|▋| 32/50 [00:04<00:02,  8.99it
| train_loss: 1.06e-02 | test_loss: 5.90e-01 | reg: 1.77e+01 | :  66%|▋| 33/50 [00:04<00:01,  9.01it
| train_loss: 1.00e-02 | test_loss: 5.95e-01 | reg: 1.76e+01 | :  66%|▋| 33/50 [00:04<00:01,  9.01it
| train_loss: 1.00e-02 | test_loss: 5.95e-01 | reg: 1.76e+01 | :  68%|▋| 34/50 [00:04<00:01,  9.01it
| train_loss: 1.08e-02 | test_loss: 6.00e-01 | reg: 1.75e+01 | :  68%|▋| 34/50 [00:04<00:01,  9.01it
| train_loss: 1.08e-02 | test_loss: 6.00e-01 | reg: 1.75e+01 | :  70%|▋| 35/50 [00:04<00:01,  9.00it
| train_loss: 1.06e-02 | test_loss: 6.03e-01 | reg: 1.75e+01 | :  70%|▋| 35/50 [00:04<00:01,  9.00it
| train_loss: 1.06e-02 | test_loss: 6.03e-01 | reg: 1.75e+01 | :  72%|▋| 36/50 [00:04<00:01,  8.85it
| train_loss: 1.04e-02 | test_loss: 6.05e-01 | reg: 1.74e+01 | :  72%|▋| 36/50 [00:04<00:01,  8.85it
| train_loss: 1.04e-02 | test_loss: 6.05e-01 | reg: 1.74e+01 | :  74%|▋| 37/50 [00:04<00:01,  8.85it
| train_loss: 1.10e-02 | test_loss: 6.09e-01 | reg: 1.73e+01 | :  74%|▋| 37/50 [00:04<00:01,  8.85it
| train_loss: 1.10e-02 | test_loss: 6.09e-01 | reg: 1.73e+01 | :  76%|▊| 38/50 [00:04<00:01,  8.89it
| train_loss: 1.17e-02 | test_loss: 6.15e-01 | reg: 1.72e+01 | :  76%|▊| 38/50 [00:05<00:01,  8.89it
| train_loss: 1.17e-02 | test_loss: 6.15e-01 | reg: 1.72e+01 | :  78%|▊| 39/50 [00:05<00:01,  8.90it
| train_loss: 1.17e-02 | test_loss: 6.22e-01 | reg: 1.71e+01 | :  78%|▊| 39/50 [00:05<00:01,  8.90it
| train_loss: 1.17e-02 | test_loss: 6.22e-01 | reg: 1.71e+01 | :  80%|▊| 40/50 [00:05<00:01,  8.93it
| train_loss: 1.09e-02 | test_loss: 6.32e-01 | reg: 1.70e+01 | :  80%|▊| 40/50 [00:05<00:01,  8.93it
| train_loss: 1.09e-02 | test_loss: 6.32e-01 | reg: 1.70e+01 | :  82%|▊| 41/50 [00:05<00:01,  8.80it
| train_loss: 1.07e-02 | test_loss: 6.42e-01 | reg: 1.69e+01 | :  82%|▊| 41/50 [00:05<00:01,  8.80it
| train_loss: 1.07e-02 | test_loss: 6.42e-01 | reg: 1.69e+01 | :  84%|▊| 42/50 [00:05<00:00,  8.81it
| train_loss: 1.07e-02 | test_loss: 6.51e-01 | reg: 1.67e+01 | :  84%|▊| 42/50 [00:05<00:00,  8.81it
| train_loss: 1.07e-02 | test_loss: 6.51e-01 | reg: 1.67e+01 | :  86%|▊| 43/50 [00:05<00:00,  8.87it
| train_loss: 9.55e-03 | test_loss: 6.54e-01 | reg: 1.66e+01 | :  86%|▊| 43/50 [00:05<00:00,  8.87it
| train_loss: 9.55e-03 | test_loss: 6.54e-01 | reg: 1.66e+01 | :  88%|▉| 44/50 [00:05<00:00,  8.92it
| train_loss: 1.01e-02 | test_loss: 6.56e-01 | reg: 1.65e+01 | :  88%|▉| 44/50 [00:05<00:00,  8.92it
| train_loss: 1.01e-02 | test_loss: 6.56e-01 | reg: 1.65e+01 | :  90%|▉| 45/50 [00:05<00:00,  8.94it
| train_loss: 1.02e-02 | test_loss: 6.58e-01 | reg: 1.63e+01 | :  90%|▉| 45/50 [00:05<00:00,  8.94it
| train_loss: 1.02e-02 | test_loss: 6.58e-01 | reg: 1.63e+01 | :  92%|▉| 46/50 [00:05<00:00,  8.96it
| train_loss: 9.23e-03 | test_loss: 6.60e-01 | reg: 1.62e+01 | :  92%|▉| 46/50 [00:05<00:00,  8.96it
| train_loss: 9.23e-03 | test_loss: 6.60e-01 | reg: 1.62e+01 | :  94%|▉| 47/50 [00:05<00:00,  8.96it
| train_loss: 1.04e-02 | test_loss: 6.61e-01 | reg: 1.61e+01 | :  94%|▉| 47/50 [00:06<00:00,  8.96it
